ID;Name;Age;Gender;City;Country;CreditCard;FullAddress;UserSignUpDate;UserLastPurchaseDate;UserStatus;UserTotalPurchases;UserSegment;UserLocation;UserSourceType;UserLastLoginDate;UserPurchaseFrequency;ProductName;Category;Subcategory;Price;DatePurchase;Quantity;Rating;Comment
12;LAURA WEBER;0;M;CHRISTOPHERTON;SWEDEN;2273002503218291;645 Kristina Forge, Jamesfurt, AL 41012;2023-01-26;2023-04-03;Churned;15;high value;CHRISTINASTAD;REFERRAL;2023-05-03;YEARLY;MEGASPEAKER;ELECTRONICS;SPEAKER;871;2023-04-07;2;1;Role return prepare exactly situation deep program use.
13;RYAN BURNETT;99;M;JOHNSCHESTER;ICELAND;2713184823223967;55219 Cynthia Parkways, Lake David, NE 71682;2022-12-09;2023-08-15;Active;3;occasional shopper;LAKE ERICHAVEN;REFERRAL;2023-08-17;MONTHLY;TASTYBEVERAGES;GROCERY;BEVERAGES;98;2022-10-28;2;4;Town tree black trip like another explain.
14;FRANK REYES;19;M;BAKERMOUTH;TAIWAN;2297357514861600;577 Randy Prairie Suite 749, Lake Alexandra, NE 80977;2022-12-22;2023-06-18;Active;7;frequent shopper;EAST STEPHENFURT;ORGANIC SEARCH;2023-06-22;YEARLY;CHAIRPLUS;FURNITURE;CHAIR;34;2023-01-12;2;4;Over offer remember.
15;THOMAS WANG;44;F;PORT NICOLE;PERU;2419812079340443;1804 Gabriel Cliff Suite 457, Jerryport, IA 06813;2022-12-30;2023-03-31;Churned;10;frequent shopper;MAYVILLE;REFERRAL;2023-06-08;YEARLY;ULTRALAPTOP;ELECTRONICS;LAPTOP;458;2021-01-11;0;0;Learn if side ground ten buy.
16;KEVIN OBRIEN;0;M;PENASIDE;BOSNIA AND HERZEGOVINA;2293893566103974;914 Tanya Courts, Davidton, ID 44312;2022-09-09;2023-01-15;Churned;9;frequent shopper;REYNOLDSHAVEN;REFERRAL;2023-04-14;YEARLY;PANTSWEAR;CLOTHING;PANTS;62;2022-11-12;0;6;Who probably myself enjoy require people scene specific.
17;RODNEY SWEENEY;34;F;PORT ALICIAVIEW;ARUBA;2262200324987655;9898 Velez Road Suite 454, East Marie, AL 00803;2023-06-22;2023-07-12;Active;5;occasional shopper;NEW RHONDAPORT;ORGANIC SEARCH;2023-07-21;YEARLY;FRESHVEGETABLES;GROCERY;VEGETABLES;55;2021-08-28;6;6;Edge record skin in require color.
18;ANDREA FREEMAN;17;F;ROWESHIRE;CYPRUS;5195243583158209;4789 Jensen Dale, East Hunter, UT 94647;2022-07-03;2022-09-22;Churned;5;occasional shopper;NEW MEGAN;REFERRAL;2022-10-31;YEARLY;THE ART OF NON-FICTION;BOOKS;NON-FICTION;966;2022-04-01;2;4;Bill technology sure president two set.
19;KIMBERLY TAYLOR;0;M;JOSESTAD;CHILE;2299284966267920;5664 Avila Fort Apt. 871, East Jeffreyburgh, AL 42854;2022-06-26;2023-01-26;Churned;4;occasional shopper;MALONEVILLE;ORGANIC SEARCH;2023-04-06;YEARLY;PROSHIRT;CLOTHING;SHIRT;17;2021-07-25;6;3;Early animal worker for probably discuss young.
20;KENDRA WALTON;69;M;HOLLYBURGH;FINLAND;2253575725031281;85598 Randall Harbors Apt. 620, Port Joelshire, ID 58174;2021-12-05;2022-02-18;Churned;15;high value;NEW JEFFREY;ORGANIC SEARCH;2023-05-24;RARELY;UNKNOWN;ELECTRONICS;SPEAKER;107;2021-11-13;10;1;Least teacher indicate assume case.
21;SUSAN MARTIN;0;F;SOUTH JOSEPH;ALGERIA;2702770504218160;73622 John Valley, Lake Julieport, AS 03714;2022-06-05;2023-05-27;Churned;12;high value;NORTH KATHERINEMOUTH;REFERRAL;2023-08-12;YEARLY;THE ART OF FICTION;BOOKS;FICTION;4;2021-07-16;3;5;Improve open example television significant.
22;EDWARD MUNOZ;0;F;EAST WESLEY;BANGLADESH;5421270250842290;4478 Allison Pine, Ellenstad, NV 35691;2023-03-27;2023-06-16;Active;8;frequent shopper;DONOVANPORT;REFERRAL;2023-06-25;YEARLY;VEGETABLESBURST;GROCERY;VEGETABLES;22;2023-01-01;3;4;Thing interview though begin call may.
23;KIMBERLY BALDWIN;0;M;COOKVILLE;SAUDI ARABIA;2294668428084243;61026 Chandler Islands Apt. 725, Williamsburgh, AR 77876;2023-01-26;2023-03-07;Churned;11;high value;NEW MOLLYPORT;PAID ADS;2023-03-27;YEARLY;TASTYBEVERAGES;GROCERY;BEVERAGES;166;2023-07-18;1;3;Along officer its success data or teach.
24;RICARDO JOHNSTON;0;M;LAKE KIMBERLY;SPAIN;2694395480935981;9576 Dana Burgs Suite 464, Port Vanessatown, MT 66440;2022-03-22;2023-01-20;Churned;6;frequent shopper;CHERYLFORT;ORGANIC SEARCH;2023-06-22;YEARLY;LAPTOPMASTER;ELECTRONICS;LAPTOP;466;2021-09-26;1;2;Series write movement real skin bar sport big.
25;KIMBERLY MAYNARD;0;F;WEST AMY;NORTH MACEDONIA;2291744570984895;74344 Ramsey Crest, East Michelle, ND 68512;2022-02-06;2022-04-10;Churned;3;occasional shopper;PORT DEANNA;PAID ADS;2022-06-20;RARELY;COMFORTSOFA;FURNITURE;SOFA;75;2022-05-08;4;2;Father answer society.
26;SEAN TUCKER;0;M;NORTH JESSE;NETHERLANDS ANTILLES;5310169921857907;3032 Dillon Prairie Suite 506, South Christopherside, VI 87253;2022-07-06;2022-07-22;Churned;1;occasional shopper;WILLIAMVILLE;PAID ADS;2023-04-10;RARELY;COMFORTCHAIR;FURNITURE;CHAIR;63;2022-06-20;3;5;Night sometimes behavior.
27;KIMBERLY CLARK;0;F;SOUTH JOSECHESTER;FINLAND;2326435332771501;52622 Clark Causeway Suite 029, Brentstad, OK 28683;2023-08-11;2023-08-18;Active;13;high value;NORTH DONALDTOWN;REFERRAL;2023-08-20;MONTHLY;SOFAPLUS;FURNITURE;SOFA;13;2022-02-04;9;0;Production compare agency.
28;SARA GONZALEZ;80;M;LAKE ROBERT;CANADA;2251936295374117;3725 Thomas Streets Suite 661, Michaelside, CT 12247;2022-05-11;2023-01-29;Churned;1;occasional shopper;DANAHAVEN;REFERRAL;2023-05-28;YEARLY;BEVERAGESBURST;GROCERY;BEVERAGES;85;2023-08-12;10;1;Crime cold blood each and.
29;WILLIAM CHAMBERS;19;F;EAST JANETBURGH;BAHRAIN;5552193388747754;50081 James Junction Suite 879, Ramosbury, TX 06502;2021-12-22;2022-02-09;Churned;5;occasional shopper;CHRISTOPHERBURY;REFERRAL;2023-03-01;RARELY;ULTRASPEAKER;ELECTRONICS;SPEAKER;776;2022-04-15;3;3;Effort positive movement spring point research.
30;HEATHER PENA;0;F;RICHARDBERG;COLOMBIA;5261201912125017;38253 Hoffman View, West Craig, MA 75698;2023-05-21;2023-06-07;Active;11;high value;NORTH DENNIS;PAID ADS;2023-06-10;YEARLY;NON-FICTIONDELUXE;BOOKS;NON-FICTION;62;2022-08-26;4;0;Measure during fill born.
31;MICHELLE TORRES;99;M;DUDLEYBOROUGH;REUNION;2429807510293720;96972 Deborah Terrace Suite 935, New Julie, GA 32965;2022-01-28;2022-10-30;Churned;2;occasional shopper;LAKE CHARLES;ORGANIC SEARCH;2023-07-02;YEARLY;CHAIRDELUXE;FURNITURE;CHAIR;12;2021-07-16;3;5;Degree quality concern occur me nation and.
32;TROY CLARK;54;F;NORTH AMYFURT;HOLY SEE (VATICAN CITY STATE);2485682590041583;8827 Jenkins Dam, South Sarahmouth, MP 89208;2023-07-28;2023-08-24;Active;9;frequent shopper;MELISSAFURT;PAID ADS;2023-08-25;MONTHLY;PHONEPRO;ELECTRONICS;PHONE;94;2021-11-11;3;6;Prepare lawyer describe her.
33;FRANK PENA;0;F;SHELLYMOUTH;MALI;2668054659135269;6608 Moody Cove, Port Joshua, RI 77593;2023-06-25;2023-08-07;Active;6;frequent shopper;KENDRATOWN;ORGANIC SEARCH;2023-08-07;MONTHLY;FICTIONTALES;BOOKS;FICTION;422;2023-05-17;2;2;View foreign so break student leave Republican.
34;JASON GILBERT;0;M;NEW CHADHAVEN;BRITISH VIRGIN ISLANDS;5290196934430533;4983 Robinson Fork, Mcbrideville, NM 96000;2022-01-14;2022-02-12;Churned;13;high value;MEGANFORT;ORGANIC SEARCH;2022-12-17;RARELY;COMFORTCHAIR;FURNITURE;CHAIR;954;2020-09-03;5;0;Rise measure enough campaign wind impact.
35;JESSICA MARTIN;0;F;VEGAPORT;URUGUAY;2253116282016710;505 Juan Shores, East Jasmine, GA 77996;2022-08-04;2023-04-06;Churned;14;high value;EAST ALLISON;REFERRAL;2023-06-21;YEARLY;MEGALAPTOP;ELECTRONICS;LAPTOP;1000;2021-03-08;9;5;Or condition executive anyone.
36;KELLY OROZCO;0;M;SOUTH GLENDABERG;KUWAIT;5104523961699282;246 Harmon Knoll Apt. 816, New Jacob, RI 02702;2022-12-01;2023-06-16;Active;9;frequent shopper;PORT DANIEL;PAID ADS;2023-08-18;YEARLY;EDUCATIONALTALES;BOOKS;EDUCATIONAL;34;2021-08-05;7;3;Green campaign toward do simple relationship American.
37;LAUREN REED;0;M;STEVENBURGH;EGYPT;2254023603475386;USS Tran, FPO AA 01558;2022-06-09;2023-03-23;Churned;1;occasional shopper;NEW THOMASSHIRE;REFERRAL;2023-05-08;YEARLY;FRESHVEGETABLES;GROCERY;VEGETABLES;99;2021-02-24;5;5;Very she someone ok hair hit.
38;LAURA WILSON MD;0;M;DARINBURGH;PHILIPPINES;2655856325320850;52359 Christopher Passage, Shaneberg, OH 39569;2023-03-13;2023-07-21;Active;1;occasional shopper;PORT JULIEBURY;PAID ADS;2023-07-21;YEARLY;LAPTOPPRO;ELECTRONICS;LAPTOP;80;2021-01-21;9;0;Effort fast community mother phone.
39;NANCY BELL;0;F;OWENSBOROUGH;MARSHALL ISLANDS;2246622463695230;51892 Diaz Pike Suite 932, South Jacob, WA 35488;2022-08-07;2022-11-05;Churned;5;occasional shopper;NORTH KAREN;REFERRAL;2023-06-09;YEARLY;FICTIONTALES;BOOKS;FICTION;18;2021-12-13;4;5;Report discussion message they.
40;DAVID JONES;0;M;DURANLAND;MISMATCHED COUNTRY;2702789931985977;579 Brown Burg, Kingfurt, HI 40336;2022-04-06;2023-06-12;Active;4;occasional shopper;STEPHANIESHIRE;ORGANIC SEARCH;2023-08-03;YEARLY;UNKNOWN;BOOKS;EDUCATIONAL;28;2020-10-25;4;3;Such girl capital citizen often.
41;MARIE WEBER;0;F;SOUTH ALISONVILLE;CONGO;2603258355593113;039 Moore Expressway Apt. 152, Patrickstad, MO 62074;2022-12-23;2023-04-06;Churned;8;frequent shopper;WEST ALEXANDERBURGH;REFERRAL;2023-07-06;YEARLY;PHONEPRO;ELECTRONICS;PHONE;561;2023-08-24;4;6;Care space there wall or.
42;LISA WHITE;0;F;SKINNERBURY;ZAMBIA;2708352692239011;7887 Edwards Groves, East Kimberlyview, CT 69930;2022-09-09;2023-01-17;Churned;13;high value;PORT GEORGE;PAID ADS;2023-07-24;YEARLY;LAPTOPMASTER;ELECTRONICS;LAPTOP;384;2022-04-17;2;1;Significant whatever assume.
43;ELIZABETH CUNNINGHAM;72;M;HENRYHAVEN;COLOMBIA;2288675704312592;8623 Booth Stravenue, Port Christopherhaven, AR 85980;2023-06-19;2023-06-29;Active;5;occasional shopper;WEST SCOTT;REFERRAL;2023-08-18;YEARLY;MEGASPEAKER;ELECTRONICS;SPEAKER;17;2022-08-12;1;1;American here respond join.
44;TYLER GONZALES;79;M;ELLISVILLE;WALLIS AND FUTUNA;2222752891131603;Unit 8217 Box 3162, DPO AE 22822;2022-01-08;2022-02-23;Churned;9;frequent shopper;SOUTH AARONTOWN;REFERRAL;2022-10-04;RARELY;CHAIRDELUXE;FURNITURE;CHAIR;547;2022-10-26;1;1;Budget Democrat already network staff bar director.
45;ROBIN DAY;18;M;EAST TIFFANYSHIRE;CZECH REPUBLIC;2270985895054246;84234 Whitney Loaf Suite 548, New Jimmyshire, MN 10010;2021-10-18;2022-02-05;Churned;3;occasional shopper;NORTH PAUL;PAID ADS;2022-03-11;RARELY;PROJACKET;CLOTHING;JACKET;673;2021-01-30;3;0;Article popular tax manager weight actually.
46;DAVID MELENDEZ;43;M;WEST PAULVILLE;WALLIS AND FUTUNA;2523844244091406;1442 Patricia Rapids Apt. 378, Martinstad, RI 21605;2022-09-29;2023-03-11;Churned;1;occasional shopper;OLIVERHAVEN;PAID ADS;2023-04-03;YEARLY;MEGASPEAKER;ELECTRONICS;SPEAKER;98;2021-02-20;1;3;Hope age read chance remember day.
47;ANDRE SINGH;0;M;WEST WILLIAM;LESOTHO;2720060788504925;31836 Todd Knolls Apt. 255, Zacharyport, IA 83039;2023-05-17;2023-06-24;Active;5;occasional shopper;NORTH ALICIAMOUTH;REFERRAL;2023-07-01;YEARLY;PHONEMASTER;ELECTRONICS;PHONE;62;2022-10-07;2;1;Partner find institution candidate candidate employee.
48;JOHN HOLMES;0;M;JOHNBERG;NORTH MACEDONIA;5364104338888901;762 Daniel Valley Suite 881, West James, MS 58307;2022-08-21;2023-04-23;Churned;14;high value;PAULMOUTH;ORGANIC SEARCH;2023-06-16;YEARLY;COMFORTCHAIR;FURNITURE;CHAIR;6;2022-11-30;10;2;At note structure forget.
49;NATHAN RAY;0;M;PORT KRISTENHAVEN;QATAR;5282631961477627;205 Samantha Highway Suite 038, West Arthurfort, SD 15643;2023-04-20;2023-06-19;Active;15;high value;EAST JAMES;ORGANIC SEARCH;2023-07-19;YEARLY;SPEAKERMASTER;ELECTRONICS;SPEAKER;839;2023-08-07;3;2;Law protect operation little identify term agency option.
50;STEPHEN DAWSON;0;M;DANIELSBOROUGH;AZERBAIJAN;2604973984183305;785 Shaun Road, Gambleborough, LA 25007;2023-03-30;2023-05-04;Churned;11;high value;GONZALESMOUTH;PAID ADS;2023-08-15;YEARLY;NON-FICTIONGUIDE;BOOKS;NON-FICTION;160;2021-11-05;3;5;Magazine edge should hotel she small clearly.
51;ALEXANDER CHRISTIAN;0;F;LAKE FRANKLIN;SAINT PIERRE AND MIQUELON;2687525468881786;1326 Burke Prairie, Robertmouth, OR 36539;2023-05-09;2023-05-27;Churned;14;high value;NORTH GEORGEBERG;REFERRAL;2023-06-16;YEARLY;EDUCATIONALGUIDE;BOOKS;EDUCATIONAL;199;2020-10-23;5;4;Include win tell sister tell will.
52;CATHERINE WILLIAMS;34;F;KAYLAHAVEN;BELIZE;2250955786031557;293 Hernandez Garden Apt. 720, Skinnerhaven, WV 55470;2022-12-28;2023-06-18;Active;10;frequent shopper;BUCKTOWN;REFERRAL;2023-08-03;YEARLY;EDUCATIONALGUIDE;BOOKS;EDUCATIONAL;264;2021-07-25;5;1;Level business then kitchen between film word.
53;KEVIN PHILLIPS;0;F;HALEYBOROUGH;GIBRALTAR;2462049730155201;PSC 9007, Box 2825, APO AP 96818;2022-07-08;2023-07-25;Active;15;high value;BROWNBOROUGH;ORGANIC SEARCH;2023-08-07;YEARLY;PANTSWEAR;CLOTHING;PANTS;526;2023-08-05;5;6;Last magazine play book factor yourself.
54;BRADLEY PENNINGTON;73;F;SOUTH BILLY;BAHAMAS;2277355918628827;981 Thomas Track, Banksville, OR 98862;2023-06-09;2023-07-05;Active;4;occasional shopper;MARTINEZHAVEN;PAID ADS;2023-08-07;YEARLY;COMFORTCHAIR;FURNITURE;CHAIR;7;2021-07-31;0;4;Perform mean budget.
55;CANDACE HUGHES;0;F;LAKE EDWARD;DOMINICA;2368584972981398;PSC 2451, Box 7719, APO AP 65773;2022-02-23;2022-10-17;Churned;6;frequent shopper;LAKE DUSTIN;REFERRAL;2023-07-25;YEARLY;CHAIRDELUXE;FURNITURE;CHAIR;840;2020-11-23;3;4;Race pick friend.
56;THOMAS PEREZ;0;M;THOMASSIDE;CAPE VERDE;2224861083159450;031 Johnson Cliffs Apt. 851, Bruceburgh, MP 08053;2023-08-19;2023-08-24;Active;6;frequent shopper;PORT TRACEYPORT;PAID ADS;2023-08-25;MONTHLY;FICTIONTALES;BOOKS;FICTION;667;2022-12-11;1;1;Common buy computer my.
57;BRANDON LOWE;0;M;MICHAELBERG;SWITZERLAND;2245712997903241;559 Morris Stravenue Suite 341, Wendymouth, TN 91409;2022-05-28;2022-06-14;Churned;6;frequent shopper;SOUTH COLTONFURT;ORGANIC SEARCH;2023-03-19;RARELY;FICTIONTALES;BOOKS;FICTION;294;2021-06-16;0;5;Public star participant change ever quality.
58;ERIC MARTIN;0;M;EAST ADAM;SOLOMON ISLANDS;2709860265475779;066 Price Estates Apt. 087, Parkertown, NV 57006;2022-12-31;2023-05-07;Churned;5;occasional shopper;KENNETHLAND;REFERRAL;2023-07-04;YEARLY;SHIRTWEAR;CLOTHING;SHIRT;27;2021-09-16;1;2;Skin citizen easy should television between key.
59;KEVIN MOONEY;0;F;THORNTONMOUTH;ETHIOPIA;2238852120716265;560 Courtney Manor Apt. 875, South Kimberly, WY 83581;2021-10-16;2022-04-11;Churned;5;occasional shopper;SHARONSIDE;PAID ADS;2023-07-12;RARELY;MEGALAPTOP;ELECTRONICS;LAPTOP;258;2022-03-17;3;0;Reflect cold product live.
60;CLIFFORD JOHNSON;58;F;XAVIERFORT;NAMIBIA;2323799035068405;8193 Adam Circle Suite 082, North Jacqueline, NM 19841;2023-03-27;2023-05-05;Churned;13;high value;NEW KELLYSHIRE;PAID ADS;2023-06-27;YEARLY;UNKNOWN;CLOTHING;SHIRT;188;2022-10-20;2;2;Minute move police budget magazine method.
61;WILLIE CARTER;0;M;NAVARROBURY;MONTENEGRO;2353419831186847;0498 Reynolds Glens Apt. 928, South Victoriachester, GU 88835;2021-12-07;2022-11-07;Churned;5;occasional shopper;LAKE ROBERT;REFERRAL;2023-07-01;YEARLY;SHIRTFITS;CLOTHING;SHIRT;37;2023-03-19;8;1;Win offer fund anything add perhaps personal.
62;MATTHEW CARDENAS;0;F;PORT ROBERTBURY;CUBA;5582196663026673;05614 Lisa Glen Apt. 661, Lake Tracyborough, VI 76574;2023-01-23;2023-06-13;Active;13;high value;WEST CLINTONHAVEN;PAID ADS;2023-06-22;YEARLY;LAPTOPMASTER;ELECTRONICS;LAPTOP;95;2021-02-05;2;2;Indicate television hit others song lose.
63;ROBERT RIVERA;32;M;CARRVILLE;SAINT VINCENT AND THE GRENADINES;2363378653232949;42125 Kevin Throughway Apt. 903, New Jennifer, NV 45169;2023-06-20;2023-07-22;Active;2;occasional shopper;LAKE PAULFORT;ORGANIC SEARCH;2023-08-02;YEARLY;TASTYSNACKS;GROCERY;SNACKS;52;2022-07-07;1;1;Lay wrong my new.
64;SHAWN GREEN;54;M;ROJASSHIRE;NICARAGUA;5158477384222898;402 Wallace Course, West Katherineport, VI 53571;2022-02-28;2022-08-02;Churned;3;occasional shopper;STACYMOUTH;PAID ADS;2023-05-06;RARELY;SNACKSBURST;GROCERY;SNACKS;73;2021-01-05;9;3;Present voice carry become.
65;DYLAN MARSHALL;0;M;KEITHBURGH;CROATIA;2246732557216007;45527 Lewis Skyway, Perrymouth, NY 98162;2022-07-15;2023-04-16;Churned;15;high value;WEST BRADLEYBURGH;ORGANIC SEARCH;2023-07-06;YEARLY;EDUCATIONALTALES;BOOKS;EDUCATIONAL;58;2022-09-13;5;2;Determine yourself age table should without leave.
66;ELLEN RICHARDSON;0;F;KARENBERG;SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS;2700750953599254;618 Savage Gardens, Smithfurt, MP 68592;2023-05-28;2023-07-09;Active;6;frequent shopper;PORT AMY;REFERRAL;2023-08-16;YEARLY;PANTSFITS;CLOTHING;PANTS;207;2023-04-20;1;1;Experience buy draw Republican move.
67;AMY PHILLIPS;0;F;PAULACHESTER;LATVIA;5163575914060911;0496 David Squares Suite 403, Ricefort, KY 47855;2022-09-11;2023-04-29;Churned;12;high value;RYANHAVEN;REFERRAL;2023-07-11;YEARLY;ULTRAPHONE;ELECTRONICS;PHONE;5;2021-05-21;1;1;Small five lead degree staff nothing.
68;ANTONIO COX;63;F;KATHERINEFORT;EQUATORIAL GUINEA;2414957688034344;0639 Herman Lodge, South Sheila, UT 92930;2022-10-12;2022-11-15;Churned;2;occasional shopper;JOHNSONVIEW;ORGANIC SEARCH;2023-03-06;YEARLY;SOFADELUXE;FURNITURE;SOFA;998;2022-03-20;8;2;Office seem economy decide child any most.
69;MARIAH SMITH;0;M;MORENOBURY;GERMANY;5166902130316579;PSC 4797, Box 1755, APO AP 89199;2022-08-16;2023-05-25;Churned;7;frequent shopper;NORTH TROY;PAID ADS;2023-06-20;YEARLY;PANTSWEAR;CLOTHING;PANTS;80;2022-03-06;4;3;Various face speak.
70;RACHEL KING;0;F;TINAVILLE;MALDIVES;2706393946016518;384 Amanda Place, Lake Julietown, UT 60031;2023-04-15;2023-07-30;Active;11;high value;KARENVIEW;PAID ADS;2023-07-30;MONTHLY;EDUCATIONALTALES;BOOKS;EDUCATIONAL;8;2023-01-12;0;1;Floor perform usually weight six main nearly.
71;LAURA WOODS MD;0;M;PETERSFURT;SAINT HELENA;2257778838688890;7118 William Curve Apt. 999, Reginaton, GU 36798;2022-08-24;2022-09-11;Churned;15;high value;NORTH SHAWNMOUTH;REFERRAL;2023-04-07;YEARLY;FRESHSNACKS;GROCERY;SNACKS;29;2021-07-12;0;1;Science turn find decision anyone poor.
72;WILLIAM ANDREWS;0;M;NEW CODYSHIRE;URUGUAY;2718545785271738;2581 Miller Park, Lake Lindseyville, GA 34101;2021-09-15;2022-05-03;Churned;12;high value;THOMASMOUTH;ORGANIC SEARCH;2023-03-16;RARELY;PROPANTS;CLOTHING;PANTS;36;2022-07-27;5;0;Four sell happen so probably possible.
73;KENNETH BARTON;89;M;EAST JENNIFERSHIRE;BRUNEI DARUSSALAM;2248093761352783;929 Pearson Point Apt. 757, South Hannahview, AK 90299;2022-03-04;2022-05-20;Churned;9;frequent shopper;NORTH STEPHANIE;REFERRAL;2023-05-26;RARELY;PANTSWEAR;CLOTHING;PANTS;556;2021-12-07;8;3;Act collection performance worker.
74;BONNIE RITTER;0;F;TAYLORVIEW;SYRIAN ARAB REPUBLIC;2271897790512914;68097 Ramirez Junction Apt. 130, South Jeremy, KY 82062;2022-11-27;2023-02-22;Churned;6;frequent shopper;EAST KENDRA;PAID ADS;2023-04-04;YEARLY;JACKETFITS;CLOTHING;JACKET;77;2022-02-04;1;3;Step up claim suggest turn take ten spring.
75;JANET PEARSON;0;F;BRIANHAVEN;TIMOR-LESTE;2228489205412072;68954 Erica Flat, Davidberg, MI 47138;2021-10-10;2023-08-20;Active;5;occasional shopper;PERRYLAND;PAID ADS;2023-08-23;MONTHLY;CHAIRPLUS;FURNITURE;CHAIR;643;2021-10-06;8;4;Them leave amount reality especially kitchen national.
76;ZACHARY JOHNSON;74;M;PORT MARY;TONGA;2630723571061994;USNV Hinton, FPO AA 00809;2022-09-12;2022-09-15;Churned;8;frequent shopper;PORT KEITH;REFERRAL;2023-04-07;YEARLY;THE ART OF EDUCATIONAL;BOOKS;EDUCATIONAL;4;2021-07-21;6;4;Early series president.
