CustomerID,Name,Email,Age,Gender,Location,ProductID,Category,Subcategory,Price,Weight,Dimensions,OrderID,Date_Order,TotalAmount,ShippingMethod,Status,InventoryID,StockLevel,RestockThreshold,LastRestockDate,WarehouseID,Location_warehouse,Capacity,SupplierID,Company,Location_Supplier,QualityScore
20,TAYLOR COLE,AOLSEN@EXAMPLE.NET,23,MALE,Tammystad,12,CLOTHING,DRESSES,647.51,2.68,47x33x2,20,11-29-2020,£937.48,EXPRESS,Shipped,20,128,216,2021-03-14,270,Port Davidborough,14875,2,Miller-Pearson,CLARKMOUTH,9.83
21,AMANDA HANSON,IWHEELER@EXAMPLE.NET,65,MALE,New Sean,21,FURNITURE,SOFAS,541.9,12.54,22x18x45,21,09-23-2021,$3661.15,STANDARD,Cancelled,21,835,100,2021-12-04,95,Lake Monique,18830,5,Morgan LLC,PORT ROBYNMOUTH,1.23
22,MICHAEL JOSEPH,PJOHNSON@EXAMPLE.COM,34,FEMALE,Melissamouth,3,FURNITURE,CABINETS,146.18,5.01,20x1x41,22,11-03-2021,$1422.75,TWO-DAY,Pending,22,55,49,2021-02-23,130,Jonesbury,8468,1,Salas Gonzalez and Todd,PATRICIABERG,8.21
23,KELSEY HUNT,MARIA08@EXAMPLE.ORG,47,FEMALE,West Mary,9,FURNITURE,BEDS,377.97,37.15,48x4x40,23,03-02-2023,£41.36,EXPRESS,Delivered,23,799,99,2021-06-19,137,Marialand,10983,2,Miller-Pearson,CLARKMOUTH,9.83
24,WILLIAM HENSON,COURTNEY85@EXAMPLE.COM,68,FEMALE,Meyersmouth,11,CLOTHING,HATS,446.11,46.95,34x38x29,24,08-01-2023,€1484.76,EXPRESS,Delivered,24,54,473,2020-12-13,150,Toddhaven,9326,2,Miller-Pearson,CLARKMOUTH,9.83
25,MR. ALEC CUNNINGHAM,MORENOPAUL@EXAMPLE.ORG,44,FEMALE,East Matthewport,6,FURNITURE,CHAIRS,55.02,8.79,28x46x41,25,08-28-2021,€2780.67,TWO-DAY,Pending,25,849,499,2022-03-21,486,Lake Walterbury,5608,7,Miller Group,CLARKMOUTH,6.56
26,MARY ROSS,GREGORY22@EXAMPLE.COM,69,MALE,Leemouth,21,FURNITURE,SOFAS,40.55,18.33,15x48x32,26,11-29-2021,$775.7,TWO-DAY,Delivered,26,602,276,2021-04-10,18,West Jasonshire,14204,1,Salas Gonzalez and Todd,PATRICIABERG,8.21
27,CHRISTOPHER WILSON,NASHLOUIS@EXAMPLE.COM,46,MALE,Lake Connie,4,CLOTHING,T-SHIRTS,517.0,49.62,9x45x49,27,01-22-2023,€2432.01,TWO-DAY,Delivered,27,701,485,2021-09-10,416,South Jamiemouth,8387,3,Johnson-Rodriguez,KATHERINEBOROUGH,7.4
28,CATHERINE MENDEZ,GRAYSTEPHEN@EXAMPLE.NET,68,FEMALE,West Moniquetown,2,ELECTRONICS,MOBILE PHONES,867.3,20.94,37x35x2,28,08-12-2023,€552.15,EXPRESS,Cancelled,28,627,125,2020-12-07,306,Clarkberg,19462,7,Miller Group,CLARKMOUTH,6.56
29,AMANDA BLACK,SHIRLEYHALL@EXAMPLE.ORG,58,FEMALE,East Richard,1,ELECTRONICS,CAMERAS,119.71,48.69,33x15x2,29,08-15-2022,$1533.9,TWO-DAY,Cancelled,29,433,126,2020-09-22,407,North Emilymouth,6197,9,Johnson-Rodriguez,KATHERINEBOROUGH,7.81
30,HECTOR GARNER,BROWNWILLIAM@EXAMPLE.COM,29,FEMALE,Lake Danielle,4,CLOTHING,T-SHIRTS,648.32,33.83,17x50x39,30,09-05-2022,£2326.86,STANDARD,Delivered,30,15,53,2022-04-28,1,North Samantha,11291,4,Salas Gonzalez and Todd,JESSICASHIRE,2.35
31,MRS. KELLY COPELAND,AMANDA36@EXAMPLE.ORG,45,MALE,Lake Oscarfurt,3,FURNITURE,CABINETS,702.29,39.53,43x13x4,31,09-17-2020,€412.69,EXPRESS,Cancelled,31,425,123,2022-07-22,480,East Jonathanstad,11941,8,Parks-Gallegos,JENKINSSIDE,6.82
32,CHARLES MOORE,DAWNRIVERA@EXAMPLE.COM,58,FEMALE,Christineshire,16,FURNITURE,TABLES,473.64,26.76,41x22x31,32,09-19-2021,€629.36,EXPRESS,Pending,32,478,38,2021-04-15,131,Port Darrenburgh,11911,2,Miller-Pearson,CLARKMOUTH,9.83
35,CYNTHIA HORTON,MARTINASHLEY@EXAMPLE.COM,43,FEMALE,East Tracytown,0,ELECTRONICS,SMART WATCHES,513.1,1.94,29x14x37,35,06-26-2021,€690.96,STANDARD,Delivered,35,787,181,2022-02-02,258,Staceyfort,11290,9,Johnson-Rodriguez,KATHERINEBOROUGH,7.81
36,JASON VELASQUEZ,JOSHUA16@EXAMPLE.NET,26,FEMALE,Port Isaiahshire,10,ELECTRONICS,LAPTOPS,942.14,22.05,24x31x45,36,08-11-2021,£4679.6,TWO-DAY,Pending,36,722,497,2021-05-14,461,North Monicastad,19832,2,Miller-Pearson,CLARKMOUTH,9.83
37,ROBERT EDWARDS,TAYLORJOHNSON@EXAMPLE.ORG,49,MALE,North Daniel,0,ELECTRONICS,SMART WATCHES,609.85,23.55,11x43x5,37,12-02-2020,€2975.68,STANDARD,Delivered,37,120,188,2022-04-19,310,New Lisa,18875,7,Miller Group,CLARKMOUTH,6.56
38,MATTHEW BRAUN,ADRIANJONES@EXAMPLE.ORG,62,MALE,North Tammy,2,ELECTRONICS,MOBILE PHONES,952.27,2.52,7x21x18,38,08-09-2021,£2949.03,EXPRESS,Shipped,38,365,375,2021-04-28,243,East Evan,17827,8,Parks-Gallegos,JENKINSSIDE,6.82
39,AMY DOUGLAS,BISHOPANNE@EXAMPLE.ORG,60,MALE,Christopherfurt,11,CLOTHING,HATS,360.44,45.51,13x23x29,39,12-17-2020,$2971.11,EXPRESS,Pending,39,571,243,2021-11-13,409,East Courtney,14381,4,Salas Gonzalez and Todd,JESSICASHIRE,2.35
40,ANNA BALLARD,QELLIOTT@EXAMPLE.COM,33,MALE,Barbaramouth,0,ELECTRONICS,SMART WATCHES,467.85,41.33,23x48x9,40,08-13-2022,£3758.68,TWO-DAY,Delivered,40,868,486,2022-05-31,227,Jenniferborough,8982,8,Parks-Gallegos,JENKINSSIDE,6.82
41,KATHLEEN DAUGHERTY,SHANEMAY@EXAMPLE.NET,27,MALE,Hallstad,9,FURNITURE,BEDS,737.52,0.53,41x7x25,41,03-22-2022,$639.56,EXPRESS,Delivered,41,627,278,2021-09-21,300,Lopezfurt,13746,2,Miller-Pearson,CLARKMOUTH,9.83
42,AARON AVILA,BRIANCERVANTES@EXAMPLE.COM,65,MALE,West Ryanmouth,8,CLOTHING,SHOES,29.0,8.74,24x29x23,42,07-17-2021,€910.65,TWO-DAY,Cancelled,42,805,394,2020-09-08,321,North Vanessa,12259,5,Morgan LLC,PORT ROBYNMOUTH,1.23
43,NANCY THOMPSON,MICHELLEANDERSON@EXAMPLE.COM,43,FEMALE,South Josephfurt,11,CLOTHING,HATS,272.87,6.82,27x37x21,43,09-17-2020,$515.82,EXPRESS,Shipped,43,974,323,2021-01-22,29,New Allison,17525,5,Morgan LLC,PORT ROBYNMOUTH,1.23
44,RACHEL JENKINS,JGUERRERO@EXAMPLE.NET,34,FEMALE,East Amybury,2,ELECTRONICS,MOBILE PHONES,140.13,44.88,23x12x41,44,04-28-2022,$2068.02,TWO-DAY,Cancelled,44,797,481,2022-04-27,359,New Michaelhaven,9972,5,Morgan LLC,PORT ROBYNMOUTH,1.23
45,ANDREW MAY,THOMPSONDAWN@EXAMPLE.ORG,54,FEMALE,Anthonyside,3,FURNITURE,CABINETS,680.79,25.88,22x46x18,45,06-02-2023,$1539.6,STANDARD,Pending,45,121,162,2021-02-16,332,East Richardview,18143,4,Salas Gonzalez and Todd,JESSICASHIRE,2.35
46,CHRISTINE ROBERTS,DSHANNON@EXAMPLE.ORG,41,MALE,Hullchester,6,FURNITURE,CHAIRS,194.07,25.28,23x26x35,46,02-19-2021,$4151.15,EXPRESS,Shipped,46,857,480,2021-10-26,291,Dannyport,11559,2,Miller-Pearson,CLARKMOUTH,9.83
48,CALVIN ALVARADO,GLOVERRYAN@EXAMPLE.ORG,30,FEMALE,Reeseside,48,CLOTHING,JEANS,399.79,32.24,50x3x35,48,09-29-2021,€4383.75,TWO-DAY,Pending,48,453,378,2020-09-02,54,Jasonborough,15745,2,Miller-Pearson,CLARKMOUTH,9.83
49,JAIME CHAPMAN,ASHLEY20@EXAMPLE.ORG,23,MALE,South Katherine,21,FURNITURE,SOFAS,321.05,3.86,19x9x30,49,06-15-2021,€1724.36,TWO-DAY,Delivered,49,99,283,2021-07-14,164,Austinland,7259,1,Salas Gonzalez and Todd,PATRICIABERG,8.21
52,TARA PEREZ,TRAVIS39@EXAMPLE.COM,25,FEMALE,North Charlesmouth,9,FURNITURE,BEDS,356.04,44.5,28x14x3,52,01-16-2023,$1597.11,STANDARD,Shipped,52,405,405,2021-06-06,336,Martinezport,17218,7,Miller Group,CLARKMOUTH,6.56
53,TRACI FLETCHER,CRICHARDSON@EXAMPLE.COM,44,MALE,Lake Ryantown,1,ELECTRONICS,CAMERAS,330.88,4.56,30x16x50,53,01-15-2022,$1334.44,TWO-DAY,Shipped,53,157,87,2021-03-01,10,Loganburgh,12104,9,Johnson-Rodriguez,KATHERINEBOROUGH,7.81
54,ERICA PRUITT,ABROWN@EXAMPLE.COM,41,FEMALE,Mayerside,1,ELECTRONICS,CAMERAS,796.36,35.02,44x39x17,54,03-14-2023,€3724.24,STANDARD,Cancelled,54,683,387,2022-03-08,233,South Teresaton,8497,3,Johnson-Rodriguez,KATHERINEBOROUGH,7.4
55,JOHN GILL,REEDKIMBERLY@EXAMPLE.ORG,65,MALE,Port Brettmouth,48,CLOTHING,JEANS,886.11,30.12,17x45x9,55,02-16-2021,$1161.76,STANDARD,Cancelled,55,311,128,2022-04-25,279,North Jeanettefurt,17976,6,Morgan LLC,NEW MARKTOWN,2.48
56,ERIN ELLIS,ROTHRONNIE@EXAMPLE.COM,64,MALE,Tabithaport,21,FURNITURE,SOFAS,115.53,22.24,13x3x15,56,12-29-2021,€827.59,STANDARD,Delivered,56,418,127,2021-03-09,302,Nathanland,17898,6,Morgan LLC,NEW MARKTOWN,2.48
57,CARRIE GONZALEZ,RACHELJAMES@EXAMPLE.ORG,32,MALE,West Robert,8,CLOTHING,SHOES,437.44,36.61,30x45x34,57,09-11-2022,£915.36,EXPRESS,Pending,57,562,69,2020-10-10,153,North Tracyborough,15164,4,Salas Gonzalez and Todd,JESSICASHIRE,2.35
58,JAMES AVERY,DEBORAHDILLON@EXAMPLE.NET,51,MALE,South Juan,11,CLOTHING,HATS,468.03,12.44,19x4x24,58,02-24-2022,€467.12,EXPRESS,Pending,58,233,173,2022-08-09,46,North Ronald,11398,4,Salas Gonzalez and Todd,JESSICASHIRE,2.35
59,MR. THOMAS DIAZ MD,KIMBERLYWILSON@EXAMPLE.COM,64,FEMALE,Lake Katie,4,CLOTHING,T-SHIRTS,550.82,36.07,5x21x20,59,06-02-2022,€412.92,TWO-DAY,Cancelled,59,699,341,2020-11-17,11,South Katieshire,18348,6,Morgan LLC,NEW MARKTOWN,2.48
60,DESTINY ROBINSON,CONNERCRYSTAL@EXAMPLE.NET,21,MALE,Shannonton,48,CLOTHING,JEANS,496.17,20.38,43x17x44,60,03-28-2023,€650.13,EXPRESS,Delivered,60,559,466,2021-04-08,190,Suzannetown,5196,5,Morgan LLC,PORT ROBYNMOUTH,1.23
61,KAREN ADAMS,QALVAREZ@EXAMPLE.NET,69,FEMALE,Taylorbury,6,FURNITURE,CHAIRS,720.86,39.35,30x46x46,61,05-13-2021,$4992.5,STANDARD,Delivered,61,551,119,2022-07-08,405,Lake Sarabury,10368,6,Morgan LLC,NEW MARKTOWN,2.48
62,ERICA MORROW,HINESVICTORIA@EXAMPLE.NET,61,FEMALE,East Ericastad,16,FURNITURE,TABLES,578.14,36.08,50x43x39,62,10-10-2020,€272.25,STANDARD,Cancelled,62,684,43,2021-02-18,369,North Melanie,17528,7,Miller Group,CLARKMOUTH,6.56
63,HALEY RICHARDSON,ZACHARYJOHNSON@EXAMPLE.ORG,36,MALE,Bobbyburgh,21,FURNITURE,SOFAS,817.36,16.63,41x50x35,63,09-06-2020,€3217.0,STANDARD,Cancelled,63,835,115,2021-03-10,69,Ericksonton,8471,3,Johnson-Rodriguez,KATHERINEBOROUGH,7.4
64,DARRELL MILLS,MSTONE@EXAMPLE.COM,53,FEMALE,Sharonborough,48,CLOTHING,JEANS,718.89,2.88,23x45x12,64,09-18-2021,€1336.2,EXPRESS,Pending,64,775,364,2021-10-14,426,North Cynthia,16963,2,Miller-Pearson,CLARKMOUTH,9.83
65,LISA BURTON,JENNIFER15@EXAMPLE.NET,46,FEMALE,Ryanside,8,CLOTHING,SHOES,351.97,0.52,42x8x47,65,05-30-2021,$139.0,TWO-DAY,Shipped,65,983,285,2022-07-02,102,East Sandramouth,15189,4,Salas Gonzalez and Todd,JESSICASHIRE,2.35
66,JACOB HARRISON,MCGEEKAREN@EXAMPLE.COM,49,FEMALE,Alvarezside,3,FURNITURE,CABINETS,769.83,47.08,38x4x43,66,11-18-2020,£973.47,STANDARD,Pending,66,600,222,2021-06-29,57,Princemouth,6544,8,Parks-Gallegos,JENKINSSIDE,6.82
68,LINDSEY OLSON,GARDNERSHANNON@EXAMPLE.NET,44,FEMALE,New Grantberg,11,CLOTHING,HATS,823.14,47.11,6x30x16,68,04-06-2022,€2360.15,STANDARD,Pending,68,307,24,2021-08-16,339,Phillipsside,10896,7,Miller Group,CLARKMOUTH,6.56
69,AMY ARNOLD,JENNIFER27@EXAMPLE.COM,40,FEMALE,East Hollytown,8,CLOTHING,SHOES,593.75,6.15,31x46x8,69,09-20-2020,£875.81,STANDARD,Delivered,69,405,499,2020-11-14,248,West Valerieton,18050,8,Parks-Gallegos,JENKINSSIDE,6.82
70,NICHOLE HANSEN,GLENNYOUNG@EXAMPLE.NET,61,MALE,Hessshire,11,CLOTHING,HATS,244.77,22.98,3x40x9,70,05-05-2021,€2473.08,EXPRESS,Cancelled,70,325,65,2021-05-21,266,North Nancychester,5244,8,Parks-Gallegos,JENKINSSIDE,6.82
71,ANDREA GARZA,DILLONMARTINEZ@EXAMPLE.NET,61,FEMALE,North Brettmouth,3,FURNITURE,CABINETS,211.97,24.05,23x23x16,71,09-01-2021,$1454.24,TWO-DAY,Cancelled,71,718,495,2021-11-11,170,Brianbury,14990,9,Johnson-Rodriguez,KATHERINEBOROUGH,7.81
72,KELLY PETTY,SARAH78@EXAMPLE.COM,34,MALE,Cuevashaven,0,ELECTRONICS,SMART WATCHES,217.56,46.89,50x13x8,72,03-14-2021,€2503.24,TWO-DAY,Delivered,72,998,428,2021-07-04,274,East Jacobview,5558,1,Salas Gonzalez and Todd,PATRICIABERG,8.21
73,WILLIAM JACKSON,WILLIAMHERNANDEZ@EXAMPLE.NET,24,FEMALE,North Monica,2,ELECTRONICS,MOBILE PHONES,180.06,43.97,5x27x27,73,11-13-2021,€1678.1,TWO-DAY,Cancelled,73,275,147,2020-12-04,106,New Melanie,6702,7,Miller Group,CLARKMOUTH,6.56
74,GREGORY WILLIAMS,SWHITE@EXAMPLE.ORG,43,FEMALE,Lake Rebeccaport,1,ELECTRONICS,CAMERAS,414.21,41.46,42x5x10,74,08-27-2023,£1355.88,TWO-DAY,Delivered,74,868,35,2022-03-02,64,Lake Robertport,14987,4,Salas Gonzalez and Todd,JESSICASHIRE,2.35
75,ASHLEY GARRISON,RAY38@EXAMPLE.COM,44,FEMALE,Avilaburgh,0,ELECTRONICS,SMART WATCHES,688.31,41.36,12x1x5,75,03-31-2021,£611.4,STANDARD,Delivered,75,14,285,2021-03-08,187,Lisaborough,7675,8,Parks-Gallegos,JENKINSSIDE,6.82
76,BROOKE GRAHAM,JASON06@EXAMPLE.COM,44,FEMALE,South Samuel,48,CLOTHING,JEANS,126.51,41.78,33x26x39,76,05-05-2023,£3047.32,STANDARD,Cancelled,76,679,290,2021-04-05,446,Duanefort,15926,7,Miller Group,CLARKMOUTH,6.56
78,GREGORY CROSBY,FCARR@EXAMPLE.NET,64,FEMALE,Port Krista,4,CLOTHING,T-SHIRTS,125.76,25.13,20x4x7,78,11-17-2020,£4734.85,STANDARD,Pending,78,510,131,2020-12-09,182,Lake Christopher,10049,1,Salas Gonzalez and Todd,PATRICIABERG,8.21
79,KARI DAVIS,MORTONKRISTIN@EXAMPLE.NET,20,MALE,North Joshuachester,3,FURNITURE,CABINETS,55.77,13.1,30x25x20,79,07-06-2021,€2644.4,TWO-DAY,Shipped,79,641,147,2021-05-29,57,Princemouth,6544,4,Salas Gonzalez and Todd,JESSICASHIRE,2.35
80,STEPHANIE RIVERA,MCDONALDMICHAEL@EXAMPLE.COM,56,FEMALE,West Bryanstad,16,FURNITURE,TABLES,147.75,5.32,47x46x34,80,11-02-2021,£594.38,TWO-DAY,Cancelled,80,956,406,2021-11-11,136,Jenniferfurt,7388,5,Morgan LLC,PORT ROBYNMOUTH,1.23
81,ANDREW BAKER,LSMITH@EXAMPLE.ORG,52,MALE,New Christinefurt,3,FURNITURE,CABINETS,288.0,24.25,18x50x19,81,01-13-2021,£1463.96,EXPRESS,Delivered,81,47,318,2021-04-24,421,Kristinaton,10431,3,Johnson-Rodriguez,KATHERINEBOROUGH,7.4
82,DANIEL GEORGE,CHELSEA08@EXAMPLE.COM,65,MALE,Wesleyburgh,0,ELECTRONICS,SMART WATCHES,664.26,31.25,3x45x38,82,12-20-2022,£974.92,STANDARD,Pending,82,346,170,2022-04-24,320,West Cindy,5650,1,Salas Gonzalez and Todd,PATRICIABERG,8.21
83,BECKY DAY,GRANTEDDIE@EXAMPLE.ORG,37,MALE,South Christina,1,ELECTRONICS,CAMERAS,317.51,11.27,3x46x6,83,02-01-2022,$428.35,EXPRESS,Shipped,83,187,271,2021-09-03,408,Jacobhaven,6983,1,Salas Gonzalez and Todd,PATRICIABERG,8.21
84,COURTNEY WEEKS,JENNIFERPATRICK@EXAMPLE.COM,38,MALE,Rodneystad,48,CLOTHING,JEANS,372.76,26.36,8x21x4,84,12-22-2020,$2493.15,STANDARD,Cancelled,84,998,352,2022-01-03,190,Suzannetown,5196,5,Morgan LLC,PORT ROBYNMOUTH,1.23
85,MARK FLETCHER,JAMESPATRICIA@EXAMPLE.COM,46,FEMALE,Pattersonport,3,FURNITURE,CABINETS,822.12,10.08,8x34x20,85,08-01-2021,€1193.05,EXPRESS,Shipped,85,662,160,2021-12-15,120,Sharonport,7476,6,Morgan LLC,NEW MARKTOWN,2.48
86,RYAN CARROLL,TAMARAFERGUSON@EXAMPLE.ORG,28,FEMALE,North Destinyberg,16,FURNITURE,TABLES,41.78,13.9,1x15x34,86,03-15-2023,€54.72,TWO-DAY,Cancelled,86,635,25,2021-11-16,104,Martinezbury,14624,4,Salas Gonzalez and Todd,JESSICASHIRE,2.35
88,BRANDY GONZALEZ,VROBINSON@EXAMPLE.ORG,24,FEMALE,West Robin,13,ELECTRONICS,HEADPHONES,588.66,5.95,48x19x10,88,01-12-2022,€2401.56,EXPRESS,Cancelled,88,580,354,2021-12-17,254,Nicholasside,8762,9,Johnson-Rodriguez,KATHERINEBOROUGH,7.81
89,AMBER CHANG,LISA11@EXAMPLE.COM,47,FEMALE,Lake Jessicaburgh,9,FURNITURE,BEDS,647.6,11.76,31x26x25,89,03-02-2023,$712.36,STANDARD,Delivered,89,237,41,2021-02-04,39,New Samantha,8984,5,Morgan LLC,PORT ROBYNMOUTH,1.23
90,STANLEY WILLIAMSON,JARVISGRANT@EXAMPLE.NET,35,FEMALE,Nealville,13,ELECTRONICS,HEADPHONES,903.11,3.28,33x24x45,90,06-25-2022,£1894.02,STANDARD,Shipped,90,435,385,2021-05-02,350,Guzmanfort,14952,7,Miller Group,CLARKMOUTH,6.56
91,ARTHUR GONZALES,BELLCRYSTAL@EXAMPLE.COM,47,FEMALE,South Arthur,3,FURNITURE,CABINETS,497.98,42.02,38x6x24,91,03-15-2023,£186.64,TWO-DAY,Shipped,91,651,290,2021-08-05,397,Port Catherineview,17948,4,Salas Gonzalez and Todd,JESSICASHIRE,2.35
92,BENJAMIN TUCKER,CHAD99@EXAMPLE.ORG,55,FEMALE,Jessicamouth,0,ELECTRONICS,SMART WATCHES,117.2,34.05,28x22x32,92,04-13-2023,£508.73,TWO-DAY,Shipped,92,471,353,2021-02-14,14,Burtonmouth,15203,6,Morgan LLC,NEW MARKTOWN,2.48
93,MICHELLE PRICE,HWARE@EXAMPLE.COM,33,MALE,Lake Monicaview,13,ELECTRONICS,HEADPHONES,339.76,13.78,40x5x15,93,12-18-2022,€142.16,TWO-DAY,Shipped,93,932,135,2021-07-27,228,Kellyborough,16578,4,Salas Gonzalez and Todd,JESSICASHIRE,2.35
94,CHRISTINA MILLER,MSOSA@EXAMPLE.COM,18,FEMALE,Port Cathy,16,FURNITURE,TABLES,246.25,11.51,3x15x23,94,04-22-2022,$395.42,EXPRESS,Shipped,94,89,129,2022-08-27,452,Brownmouth,12640,7,Miller Group,CLARKMOUTH,6.56
95,ADRIAN GAMBLE,LORRAINE97@EXAMPLE.ORG,36,FEMALE,Farrellstad,10,ELECTRONICS,LAPTOPS,941.25,8.24,5x33x45,95,02-22-2021,€521.35,STANDARD,Shipped,95,923,321,2021-09-06,369,North Melanie,17528,4,Salas Gonzalez and Todd,JESSICASHIRE,2.35
96,TIMOTHY MITCHELL MD,MICHELLE79@EXAMPLE.ORG,66,FEMALE,West Timothy,48,CLOTHING,JEANS,171.1,16.39,26x46x36,96,12-28-2022,€1377.99,TWO-DAY,Delivered,96,980,273,2021-01-28,44,Timothyberg,16501,3,Johnson-Rodriguez,KATHERINEBOROUGH,7.4
97,JOSEPH PERKINS,ROGER71@EXAMPLE.NET,39,FEMALE,Dorismouth,21,FURNITURE,SOFAS,808.92,12.19,14x15x24,97,10-10-2022,€1578.36,TWO-DAY,Shipped,97,375,360,2021-11-18,304,Shannonbury,14107,5,Morgan LLC,PORT ROBYNMOUTH,1.23
98,NICHOLE MYERS,SPHILLIPS@EXAMPLE.ORG,26,FEMALE,Port Alecmouth,4,CLOTHING,T-SHIRTS,42.33,13.49,47x15x48,98,09-14-2021,€1642.0,EXPRESS,Delivered,98,302,194,2022-08-07,346,West Linda,7748,6,Morgan LLC,NEW MARKTOWN,2.48
